satellite,time,x_km,y_km,z_km
CALSPHERE 1,2025-06-30 02:15:33,-1443.085570824169,-2964.622739266984,6587.374148297469
CALSPHERE 1,2025-06-30 02:25:33,-2866.114062563765,-5761.577951378891,3584.047768347915
CALSPHERE 1,2025-06-30 02:35:33,-3290.5082762169573,-6551.038395673133,-669.9092425595098
CALSPHERE 1,2025-06-30 02:45:33,-2565.3536867655453,-5051.883004261764,-4688.809913023766
CALSPHERE 1,2025-06-30 02:55:33,-943.4009419542801,-1786.7041206387644,-7064.839339700573
CALSPHERE 1,2025-06-30 03:05:33,1008.2332384525292,2102.829560756621,-6966.208525395131
CALSPHERE 1,2025-06-30 03:15:33,2607.065566248962,5256.528165862271,-4425.4881953552285
CALSPHERE 1,2025-06-30 03:25:33,3292.4671916448797,6568.498013794806,-330.9513835407566
CALSPHERE 1,2025-06-30 03:35:33,2824.667980020183,5579.815169818609,3880.270764540685
CALSPHERE 1,2025-06-30 03:45:33,1370.6067100295693,2642.8791585419644,6734.859099603629
CALSPHERE 1,2025-06-30 03:55:33,-560.1878528152591,-1213.3232081613992,7243.6135227756995
CALSPHERE 1,2025-06-30 04:05:33,-2296.556113202542,-4648.392171799337,5232.951954924438
CALSPHERE 1,2025-06-30 04:15:33,-3233.968188489263,-6466.313375278637,1398.7785736987205
CALSPHERE 1,2025-06-30 04:25:33,-3042.727694035486,-6027.500557378019,-2923.9326032895196
CALSPHERE 1,2025-06-30 04:35:33,-1787.8573934892454,-3481.7004789413154,-6222.0013199851355
CALSPHERE 1,2025-06-30 04:45:33,91.91763292018611,281.0267484166003,-7340.4299173040445
CALSPHERE 1,2025-06-30 04:55:33,1939.4697040928968,3945.30645057286,-5887.012323170597
CALSPHERE 1,2025-06-30 05:05:33,3107.897390374594,6228.084490421339,-2368.092285610958
CALSPHERE 1,2025-06-30 05:15:33,3187.24814692378,6328.391568629097,1982.6845288708423
CALSPHERE 1,2025-06-30 05:25:33,2151.804995359336,4215.231683681843,5639.331357699053
CALSPHERE 1,2025-06-30 05:35:33,366.6863367308748,633.5095318831228,7328.466390078129
CALSPHERE 1,2025-06-30 05:45:33,-1545.8892997403602,-3168.436507835792,6468.0989633542395
CALSPHERE 1,2025-06-30 05:55:33,-2921.3684993876363,-5869.547731106654,3356.508932187765
CALSPHERE 1,2025-06-30 06:05:33,-3278.7239157546387,-6525.068264273789,-926.5419469599528
CALSPHERE 1,2025-06-30 06:15:33,-2490.480694796635,-4900.7144042673235,-4884.661058845277
CALSPHERE 1,2025-06-30 06:25:33,-831.5836924007638,-1563.1244940795036,-7131.251860226998
CALSPHERE 1,2025-06-30 06:35:33,1117.9211514698932,2320.6909616030234,-6879.847633600587
CALSPHERE 1,2025-06-30 06:45:33,2676.224662115771,5392.399955114007,-4216.433934520583
CALSPHERE 1,2025-06-30 06:55:33,3296.8526011556582,6574.747499539725,-72.54541794717925
CALSPHERE 1,2025-06-30 07:05:33,2762.9286427849906,5454.622579925639,4097.359030163261
CALSPHERE 1,2025-06-30 07:15:33,1264.5762307518555,2430.503256607293,6835.109391516699
CALSPHERE 1,2025-06-30 07:25:33,-673.5431826316628,-1438.8472658353407,7192.588983704748
CALSPHERE 1,2025-06-30 07:35:33,-2377.86276702599,-4808.7285276460725,5048.326613222287
CALSPHERE 1,2025-06-30 07:45:33,-3254.7587507156086,-6505.315912560978,1144.5399835514856
CALSPHERE 2,2025-06-29 07:55:33,-2118.4685662073143,-5120.0141917996325,4941.205858049888
CALSPHERE 2,2025-06-29 08:05:33,-2846.171049309906,-6787.097184704007,1004.0900707218173
CALSPHERE 2,2025-06-29 08:15:33,-2605.440154854355,-6144.80348545966,-3275.819198847739
CALSPHERE 2,2025-06-29 08:25:33,-1481.1168053325284,-3418.5900210809373,-6443.770628757541
CALSPHERE 2,2025-06-29 08:35:33,142.82386977677515,460.8176332214997,-7436.047541972521
CALSPHERE 2,2025-06-29 08:45:33,1719.1126891701285,4186.221794423805,-5927.929763800613
CALSPHERE 2,2025-06-29 08:55:33,2718.8406218097,6507.621669409608,-2427.6733964683763
CALSPHERE 2,2025-06-29 09:05:33,2804.613090853121,6641.444739370275,1889.7773706482524
CALSPHERE 2,2025-06-29 09:15:33,1945.3919321833023,4537.4988330455635,5568.502012897859
CALSPHERE 2,2025-06-29 09:25:33,429.7106242026021,902.436688922067,7363.296689478598
CALSPHERE 2,2025-06-29 09:35:33,-1231.036607721579,-3037.174382615857,6662.212508282963
CALSPHERE 2,2025-06-29 09:45:33,-2473.8075399751774,-5945.570121669441,3695.912587563968
CALSPHERE 2,2025-06-29 09:55:33,-2874.815288249364,-6830.854843121256,-530.4751022367249
CALSPHERE 2,2025-06-29 10:05:33,-2298.3633132884092,-5393.585284284736,-4576.8542839120155
CALSPHERE 2,2025-06-29 10:15:33,-943.9025916342683,-2130.5459079452926,-7072.34883941365
CALSPHERE 2,2025-06-29 10:25:33,728.4911353169673,1850.154769217445,-7184.202591264219
CALSPHERE 2,2025-06-29 10:35:33,2156.760056462122,5210.799000139427,-4881.866686567429
CALSPHERE 2,2025-06-29 10:45:33,2861.207881330425,6822.659435372167,-938.1313621723558
CALSPHERE 2,2025-06-29 10:55:33,2602.970255054325,6138.966467301846,3321.2872839018487
CALSPHERE 2,2025-06-29 11:05:33,1467.1472554010368,3385.5574461518436,6457.907072092811
CALSPHERE 2,2025-06-29 11:15:33,-163.97931461904741,-510.76052062335674,7408.490257129785
CALSPHERE 2,2025-06-29 11:25:33,-1739.2950772242584,-4233.427199544365,5845.379094418886
CALSPHERE 2,2025-06-29 11:35:33,-2723.5336664131805,-6517.412194205604,2292.5178816701273
CALSPHERE 2,2025-06-29 11:45:33,-2780.8619817249146,-6583.291569506656,-2042.367610526331
CALSPHERE 2,2025-06-29 11:55:33,-1893.8352825761665,-4413.536060750226,-5683.274871522909
CALSPHERE 2,2025-06-29 12:05:33,-366.98637538147193,-752.676667266118,-7402.150510219803
CALSPHERE 2,2025-06-29 12:15:33,1283.473547302649,3161.7989207449336,-6629.878212571394
CALSPHERE 2,2025-06-29 12:25:33,2503.6620575477996,6016.286836364852,-3630.061205218898
CALSPHERE 2,2025-06-29 12:35:33,2882.899171458315,6849.969555744699,591.0599283238284
CALSPHERE 2,2025-06-29 12:45:33,2291.3453131309802,5376.997372215734,4612.092689472306
CALSPHERE 2,2025-06-29 12:55:33,926.8688037677153,2090.27040599152,7073.318598990686
CALSPHERE 2,2025-06-29 13:05:33,-750.6311751826396,-1902.326383276014,7138.54868884291
CALSPHERE 2,2025-06-29 13:15:33,-2173.3986731909176,-5249.374685170783,4778.951832809831
CALSPHERE 2,2025-06-29 13:25:33,-2856.965805219572,-6811.03519998674,791.0210191318237
CALSPHERE 2,2025-06-29 13:35:33,-2568.5047060463558,-6055.360126825668,-3467.082785446599
CALSPHERE 2,2025-06-29 13:45:33,-1409.2232086546655,-3246.678295476523,-6548.614392089752
CALSPHERE 2,2025-06-29 13:55:33,225.2855765223524,656.8897643900609,-7419.7777804414745
CALSPHERE 2,2025-06-29 14:05:33,1784.469477611731,4340.66229511912,-5796.44143826474
CALSPHERE 2,2025-06-29 14:15:33,2745.143710699244,6568.564130660863,-2225.1224232086583
CALSPHERE 2,2025-06-29 14:25:33,2782.9033885173267,6588.123585329762,2095.2399349186517
CALSPHERE 2,2025-06-29 14:35:33,1882.871606569287,4387.614186402283,5707.405422028231
CALSPHERE 2,2025-06-29 14:45:33,347.40437763615034,706.3986635129521,7388.408934171844
CALSPHERE 2,2025-06-29 14:55:33,-1305.3102538550243,-3213.099431172656,6564.557757329255
CALSPHERE 2,2025-06-29 15:05:33,-2514.7603642253634,-6041.476008207755,3508.231937515419
CALSPHERE 2,2025-06-29 15:15:33,-2868.457523537484,-6813.975869850434,-744.3186287270252
CALSPHERE 2,2025-06-29 15:25:33,-2247.015470180515,-5270.0376198646,-4744.092102458628
CALSPHERE 2,2025-06-29 15:35:33,-865.1864095759953,-1942.7141204868242,-7136.817135987278
CALSPHERE 2,2025-06-29 15:45:33,808.0034889228663,2038.8762065585881,-7124.854554382008
CALSPHERE 2,2025-06-29 15:55:33,2210.4148674928824,5337.15207918314,-4718.882370809468
CALSPHERE 2,2025-06-29 16:05:33,2870.933105911817,6844.083045070952,-726.2185880485646
CALSPHERE 2,2025-06-29 16:15:33,2565.366753608162,6047.950573872154,3510.7000647604127
CALSPHERE 2,2025-06-29 16:25:33,1394.793825360612,3212.5550470106477,6560.673629241442
CALSPHERE 2,2025-06-29 16:35:33,-246.71055065768368,-707.4674236073276,7389.507227670774
CALSPHERE 2,2025-06-29 16:45:33,-1804.3758741229353,-4387.188450991272,5710.5766991552655
CALSPHERE 2,2025-06-29 16:55:33,-2748.7532854882743,-6575.744924992578,2087.424718091287
CALSPHERE 2,2025-06-29 17:05:33,-2757.6478397143887,-6526.368159839062,-2247.850117347162
CALSPHERE 2,2025-06-29 17:15:33,-1830.2914325831257,-4261.209470404649,-5819.452015637277
CALSPHERE 2,2025-06-29 17:25:33,-284.7779992165829,-556.8681031912312,-7423.618277528477
CALSPHERE 2,2025-06-29 17:35:33,1356.7004691818609,3335.2501532054143,-6529.979937591807
CALSPHERE 2,2025-06-29 17:45:33,2543.3513538659663,6109.21642219012,-3442.430016432478
CALSPHERE 2,2025-06-29 17:55:33,2875.6207428279645,6830.926867975608,803.381860759531
CALSPHERE 2,2025-06-29 18:05:33,2239.426218534052,5252.101456989823,4777.413428006742
CALSPHERE 2,2025-06-29 18:15:33,847.7371901150073,1901.4523348368214,7135.546376749032
CALSPHERE 2,2025-06-29 18:25:33,-830.274262455911,-2091.347347094906,7076.205418240933
